Pays,Clics,Impressions,CTR,Position
Bosnie-Herzégovine,0,10,0%,5.6
Jamaïque,0,10,0%,6.2
El Salvador,0,10,0%,9.2
Chine,0,9,0%,2.78
Panama,0,8,0%,4
Syrie,0,8,0%,5.62
Aruba,0,7,0%,5.71
Sri Lanka,0,7,0%,6.14
Grenade,0,6,0%,5.33
Seychelles,0,5,0%,4
Liban,0,5,0%,4.6
Éthiopie,0,5,0%,15.8
Côte d'Ivoire,0,4,0%,3.25
Angola,0,4,0%,4
Ghana,0,4,0%,5.25
Kirghizistan,0,4,0%,5.75
Sint Maarten,0,3,0%,2.33
Caïmans (Îles),0,3,0%,3.33
Maurice (Île),0,3,0%,4
Belize,0,3,0%,4.33
Cuba,0,3,0%,4.33
Macao,0,3,0%,4.67
Sainte-Lucie,0,3,0%,5.33
Bolivie,0,3,0%,5.67
Tanzanie,0,3,0%,6
Guatemala,0,3,0%,10
Dominique,0,2,0%,2
Brunei,0,2,0%,3.5
Cap-Vert,0,2,0%,4
Guyane,0,2,0%,4
Honduras,0,2,0%,4.5
Mali,0,2,0%,4.5
Mongolie,0,2,0%,4.5
Nicaragua,0,2,0%,4.5
Saint-Vincent-et-les-Grenadines,0,2,0%,4.5
Botswana,0,2,0%,5
Ouganda,0,2,0%,5
Monténégro,0,2,0%,5.5
Sénégal,0,2,0%,6
Antigua-et-Barbuda,0,2,0%,6.5
Mauritanie,0,2,0%,6.5
Tadjikistan,0,2,0%,7.5
Faroe (Îles),0,2,0%,9
Sahara oriental,0,2,0%,37
Andorre,0,1,0%,1
Îles Turks-et-Caïcos,0,1,0%,1
Lesotho,0,1,0%,2
Maldives,0,1,0%,2
Liechtenstein,0,1,0%,3
Papouasie-Nouvelle Guinée,0,1,0%,3
Turkménistan,0,1,0%,3
Congo-Brazzaville,0,1,0%,4
Djibouti,0,1,0%,4
Gibraltar,0,1,0%,4
Man (Île),0,1,0%,4
Laos,0,1,0%,4
Malte,0,1,0%,4
Nouvelle-Calédonie,0,1,0%,4
Rwanda,0,1,0%,4
Saint-Marin,0,1,0%,4
Burkina Faso,0,1,0%,5
Guinée,0,1,0%,5
Malawi,0,1,0%,5
Sierra Leone,0,1,0%,5
Togo,0,1,0%,5
Curaçao,0,1,0%,6
Soudan,0,1,0%,7
Anguilla,0,1,0%,8
Madagascar,0,1,0%,8
Surinam,0,1,0%,8
Afghanistan,0,1,0%,9
Saint-Christophe-et-Niévès,0,1,0%,10
